Country Name,Country Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,,,,,
Cote d'Ivoire,CIV,156800,158800,158800,159800,160800,160800,161500,161500,162000,162000,163000,163100,164400,166250,167150,168400,170800,172100,172250,172550,173700,174900,175840,179010,181800,182800,184000,187200,188200,189300,189500,192000,195020,197000,198000,198000,197000,197000,196000,196000,196000,196000,196000,200000,202000,203000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,,,,,,,
Cameroon,CMR,75100,75700,76200,76800,77400,78000,78700,79200,79700,79780,80280,80950,81600,82800,83950,85100,86440,86710,89120,89300,89600,90100,90600,91100,91600,92300,92100,92100,91900,91700,91500,91600,91600,91600,91600,91600,91600,91600,91600,91600,91600,91600,91600,92100,92130,92130,92130,92630,93130,97000,97500,97500,97500,97500,97500,97500,,,,,,,
"Congo, Dem. Rep.",COD,250500,250700,251000,251300,251500,251700,252000,252500,253000,253500,254000,254500,255000,255500,255500,256000,256300,256500,256500,257000,257500,257700,258000,258500,259000,259500,259500,259500,259500,259600,259800,260000,260000,260000,258000,258000,257000,257000,256000,256000,255500,255500,255500,255500,255500,255860,256500,257000,257450,257650,260400,262000,262000,262000,262000,262000,,,,,,,
"Congo, Rep.",COG,105400,105400,105420,105430,105430,105430,105430,105430,105440,105480,105480,105500,105540,105580,105620,105680,105650,105200,105220,105250,105280,105540,105580,105620,105680,105650,105400,105420,105440,105210,105230,105250,105300,105180,105200,105220,105360,105380,105440,105400,105400,105400,105400,105450,105470,105500,105500,105500,105630,105760,105960,106020,106270,106270,106270,106270,,,,,,,
Colombia,COL,399700,409720,414930,419950,430080,430200,430230,430250,430300,430300,450540,450680,450840,450990,451150,451300,453150,452610,452770,452920,453080,453230,453390,453560,453750,453950,454010,452830,451830,450830,448840,449830,449030,448650,445130,449200,450820,455430,456680,448590,417450,416070,420510,423910,425570,421740,424360,426140,425400,425030,417210,426176.0156,448156.0156,449871.6016,446656.0156,446656.0156,,,,,,,
Comoros,COM,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,1000,1000,1000,1000,1000,1000,1100,1100,1100,1130,1140,1140,1140,1140,1150,1150,1200,1220,1240,1260,1300,1320,1330,1350,1350,1350,1350,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,1330,,,,,,,
Cabo Verde,CPV,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,650,670,670,680,680,690,690,690,700,700,720,720,710,710,730,740,740,750,750,760,760,780,780,780,780,840,840,790,790,790,,,,,,,
Costa Rica,CRI,13950,14100,14200,14850,15550,16350,16360,17160,17900,18560,18870,18870,20480,20480,21220,22050,22870,23600,24430,25160,25990,26790,26820,27480,26810,26120,25390,24630,23780,23050,22380,21600,21130,20950,20480,19950,19530,19150,18880,18400,18330,18260,18290,18220,18050,18150,18000,17930,18160,18190,18190,18120,17965,17800.99976,17800,17595,,,,,,,
Caribbean small states,CSS,22340,22370,22400,22420,22200,22340,22330,22350,22390,22320,22410,22390,22530,22549,22540,23360,24240,25150,25982.00001,25975,25967.99999,25800,25672.00001,25725,25777.99999,25842.00001,25960,25990,26060,26149,26237.99999,26297.00001,26637.00001,26585,26500,26454,26350,26235,26284,25977,25902,25732.00001,25780,25656.3,25167.00003,25159.10004,25099.9,24960.00003,25135.00002,25096.00003,25096,25047.99997,25162.99997,25207.99997,25286,25376,,,,,,,
Cuba,CUB,35500,38050,40380,47550,45480,45100,46210,47270,47450,50220,50730,55810,58510,56310,58100,59970,60380,59480,58620,59370,59380,60830,61790,61420,62220,64510,67260,67880,67720,67410,67550,67750,67300,66860,66840,66150,66870,66740,66600,65540,66560,66540,66380,65280,66370,66300,66200,65670,65137.99805,64612.00195,64077.99805,64056.00098,63422.99805,62789.10156,62402.99805,62267.00195,,,,,,,
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,27.00000048,,,,,,,
Cyprus,CYP,4040,4020,4050,4030,4020,4000,4010,4010,3990,3980,3960,3940,3942.000122,2870,1803.000031,1778.999939,1761.000061,1743.000031,1725,1715,1758.999939,1820,1830,1820,1628.000031,1631.999969,1623.999939,1613.999939,1613.999939,1606.000061,1591.999969,1596.000061,1586.999969,1433.999939,1431.000061,1431.999969,1421.999969,1441.999969,1441.999969,1415,1400,1400,1540,1560,1670,1570,1471.999969,1155.999985,1275.999985,1145,1163.000031,1169.000015,1088.300018,1089.800034,1275.100021,1123.300018,,,,,,,
Czech Republic,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42820,42840,42800,42800,42800,42840,42820,42800,42780,42720,42690,42650,42600,42540,42490,42440,42390,42340,42290,42250,35210,35160,34940,34890,,,,,,,
Germany,DEU,193750,193930,194020,194580,195340,195310,194120,192850,192540,190230,189520,189490,188970,188210,187920,187580,187090,186590,185940,185190,184610,183960,183300,182840,182440,182080,181250,180970,180560,180320,171360,169510,171620,173080,173430,173370,173270,173730,171520,170680,170340,169670,170010,170130,170310,169460,169500,169210,168860,167000,167190,166640,166970,167250,167310,166570,,,,,,,
Djibouti,DJI,13010,13010,13010,13010,13010,13010,13010,13010,13010,13010,13010,13010,13010,13010,13010,13010,13010,13010,13010,13010,13010,13010,13010,13010,13010,13010,13010,13010,13010,12990,13360,13710,14010,14010,14510,14810,15010,15010,15510,16010,16810,17010,17010,17010,17010,17013.00049,17015,17011.99951,17013.00049,17015.99976,17020,17020,17020,17020,17020,17020,,,,,,,
Dominica,DMA,170,180,170,170,180,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,180,180,180,180,180,180,180,170,170,170,170,190,210,220,220,220,220,220,220,220,220,230,250,250,250,250,250,250,250,,,,,,,
Denmark,DNK,31600,31410,30880,30680,30330,30270,30230,30170,29910,29750,29510,29560,29860,29320,29370,29330,29270,29210,29200,29050,28970,28870,28460,28550,28340,28190,27980,27870,27740,27880,27700,27560,27390,26910,27260,27160,26880,26720,26440,26470,26760,26650,26580,26460,27070,27100,26630,26680,26340,26260,26900,26240,26090,26290,26110,26040,,,,,,,
Dominican Republic,DOM,21900,22050,22200,22350,22500,22650,22800,22900,23300,23350,23440,23700,24050,24250,24550,25100,25400,25650,25900,26200,26250,26300,26300,26300,26300,26370,26370,26370,26410,25460,25460,25460,25460,25460,25760,25750,25000,25100,24670,25150,25150,25150,24350,24170,24170,24170,24170,23970,23970,23970,23970,23520,23520,23520,23520,23520,,,,,,,
Algeria,DZA,454710,449000,445100,441640,441670,441670,442510,442030,442030,442160,454330,453960,443040,443360,437530,440210,438320,438430,438200,438300,391710,391070,392820,396100,390510,386880,387790,388170,387600,386760,386220,388650,388620,396400,396490,396360,396900,398260,397310,400210,401090,398550,399056.9922,411450,412110,411810,412520,413090,413800,413740,413880,413981.9141,414316.4063,414310,414563.9844,413601.9922,,,,,,,
East Asia & Pacific (excluding high income),EAP,5694927.4,5727769.5,5762688.701,5798200.2,5839703.401,5879781.299,5921606.799,5961173,6008359.399,6060395.1,6099057.8,6157060.3,6220048.901,6298784.702,6353091.401,6271316.201,6345817.402,6410116.099,6453656.099,6503331.401,6562087.9,6664687.9,6775760.399,6881991.201,7036357.5,7121942.999,7213320.999,7288317.998,7362399.002,7434546.001,7463930,7467252,7468970.999,7509325.999,7520330,7523926.001,7638812.002,7646349.002,7676401.901,7685490.002,7671877,7662752,7511364.802,7544872.967,7543491.082,7521706.002,7548063.998,7569562.997,7593842,7603520.994,7615233.997,7627309.969,7637641.98,7647947,7786636.697,7767964.031,,,,,,,
Early-demographic dividend,EAR,11020890,11013090,10995890,10985930,10976690,10975710,10971940,10974210,10970570,10977065,10980540,11019950,11040870,11048250,11051000,11057020,11076240,11093940,11123515,11123380,11091386,11129959.4,11144335.4,11246886.6,11347722,11430552,11558283,11623312,11709858,11804256,11814789,12500996.8,12914079,12985300,13083123,13193589.6,13289256.2,13400245.2,13505819,13527198,13548615,13547755,13598672.99,13696936.8,13556122,13589952,13646464.8,13642109.4,13664381.99,13700952.89,13720139.61,13744135.52,13752479.31,13731847.87,13727928.35,13728558.59,,,,,,,
East Asia & Pacific,EAS,10573320.4,10627802.5,10690131.7,10752323.2,10833497.4,10884425.3,10951810.8,10971917,11057393.4,11138019.1,11189371.8,11262434.3,11350242.9,11435688.7,11483485.4,11414070.2,11395671.4,11440710.1,11522260.1,11596385.4,11658281.9,11708031.9,11749444.4,11873155.2,12023971.5,12089077,12181105,12267092,12287153,12331960,12345066,12378128,12319917,12439732,12390446,12411232,12495148,12517915,12446847.9,12478786,12462313,12332458,12103122.8,12142590.97,12189383.68,12061446.5,11993671,11931864,11874188,11778082.39,11899739.23,11868298.27,11788684.8,11895219,11627215.7,11657674.03,,,,,,,
Europe & Central Asia (excluding high income),ECA,434220,435650,442960,442940,443260,445260,444070,447220,459000,454180,455230,460220,459150,454880,449970,451760,453440,453700,462150,458780,459080,444870,440050,448980,454110,457600,467040,465420,471750,469570,473550,6341622.002,6315166.001,6307550,6245276.001,6226687.939,6247454.971,6233738.97,6228506.968,6235026.968,6226271.938,6210758.062,6193790.063,6186387.998,6175886.001,6202639.996,6189104.933,6172127.068,6164268.965,6213050.974,6208411.998,6208595.935,6231195.24,6239432.827,6238926.124,6236320.127,,,,,,,
Europe & Central Asia,ECS,2531218.999,2529870.001,2531587,2523283.001,2515012.999,2512220.999,2508299.999,2502327.001,2512015.001,2485054,2464924.999,2462475.001,2454114,2444038,2434304.001,2427783.999,2426376.002,2425973.002,2429891.999,2421545,2417434.998,2400574.999,2384227.999,2390729.999,2391875.999,2391603,2399042,2392104,2393672.006,2385529.006,2356523.004,8316981.009,8347847.008,8334648.004,8256114.994,8235004.948,8249240.967,8234789.969,8223784.962,8225612.77,8194682.648,8162531.753,8127212.458,8109548.203,8097854.406,8117109.988,8080638.027,8068030.668,8047218.473,8083453.178,8068115.19,8058647.742,8071915.616,8063643.828,8060110.525,8048002.118,,,,,,,
